pattern,html_path,pdf_path,location,symmetry,website,set,svg_path
P157,html/data164/P157.html,contents/data164/P157.pdf,"Dar Umma, Royal Palace, Casablanca",p4m,https://tilingsearch.mit.edu/HTML/data164/P157.html,set2,contents/data164/P157.svg
C1,html/data164/C1.html,contents/data164/C1.pdf,In Islamic style,p6m,https://tilingsearch.mit.edu/HTML/data164/C1.html,set1,contents/data164/C1.svg
F6938,html/data164/F6938.html,contents/data164/F6938.pdf,"al-Rifa'i, West hall door",p4m,https://tilingsearch.mit.edu/HTML/data164/F6938.html,set1,contents/data164/F6938.svg
P146,html/data164/P146.html,contents/data164/P146.pdf,"Bahia Palace, Marrakesh",p4m,https://tilingsearch.mit.edu/HTML/data164/P146.html,set2,contents/data164/P146.svg
HR47,html/data164/HR47.html,contents/data164/HR47.pdf,"Uzgend, Pillar carving",p4m,https://tilingsearch.mit.edu/HTML/data164/HR47.html,set3,contents/data164/HR47.svg
P234,html/data164/P234.html,contents/data164/P234.pdf,"Royal Palace Museum, Fez",p4m,https://tilingsearch.mit.edu/HTML/data164/P234.html,set2,contents/data164/P234.svg
P266A,html/data164/P266A.html,contents/data164/P266A.pdf,"Royal Palace, Marrakesh",p4m,https://tilingsearch.mit.edu/HTML/data164/P266A.html,set3,contents/data164/P266A.svg
P141A,html/data164/P141A.html,contents/data164/P141A.pdf,"Dar el Qima, Royal Palace, Fez",p4m,https://tilingsearch.mit.edu/HTML/data164/P141A.html,set2,contents/data164/P141A.svg
AJ1,html/data164/AJ1.html,contents/data164/AJ1.pdf,"Alhambra, Patio de los Arrayanes",p4m,https://tilingsearch.mit.edu/HTML/data164/AJ1.html,set1,contents/data164/AJ1.svg
P141B,html/data164/P141B.html,contents/data164/P141B.pdf,"Alhambra, SalÃ³n de Comares",p4m,https://tilingsearch.mit.edu/HTML/data164/P141B.html,set3,contents/data164/P141B.svg
F11,html/data164/F11.html,contents/data164/F11.pdf,Royal Palace door,p6m,https://tilingsearch.mit.edu/HTML/data164/F11.html,set1,contents/data164/F11.svg
P236A,html/data164/P236A.html,contents/data164/P236A.pdf,"Grebs Frieze, Ben Youssef Madrasah",p4m,https://tilingsearch.mit.edu/HTML/data164/P236A.html,set2,contents/data164/P236A.svg
